symbol,last_price,current_regime,rsi14,bb_lower,daily_ret,vol_zscore,sig_rsi,sig_bollinger,sig_drop3,sig_vol_spike,confluence_score
BTCUSDT,63402.43,sideways,45.39,62647.34,-0.002351,0.323,False,False,False,False,0
ETHUSDT,1878.14,sideways,50.66,1835.82,-0.001721,-0.163,False,False,False,False,0
SOLUSDT,75.53,sideways,52.17,71.63,-0.008788,-0.501,False,False,False,False,0
