symbol,type,lag,value,ci_upper,ci_lower
ETHUSDT,pacf,4,0.027004,0.034681,-0.034681
ETHUSDT,pacf,5,0.001445,0.034681,-0.034681
ETHUSDT,pacf,6,0.043856,0.034681,-0.034681
ETHUSDT,pacf,7,-0.006697,0.034681,-0.034681
ETHUSDT,pacf,8,-0.035713,0.034681,-0.034681
ETHUSDT,pacf,9,-0.012708,0.034681,-0.034681
ETHUSDT,pacf,10,0.037128,0.034681,-0.034681
ETHUSDT,pacf,11,0.008302,0.034681,-0.034681
ETHUSDT,pacf,12,-0.01101,0.034681,-0.034681
ETHUSDT,pacf,13,0.025394,0.034681,-0.034681
ETHUSDT,pacf,14,-0.00719,0.034681,-0.034681
ETHUSDT,pacf,15,0.01079,0.034681,-0.034681
ETHUSDT,pacf,16,0.01058,0.034681,-0.034681
ETHUSDT,pacf,17,0.03395,0.034681,-0.034681
ETHUSDT,pacf,18,-0.01391,0.034681,-0.034681
ETHUSDT,pacf,19,0.022796,0.034681,-0.034681
ETHUSDT,pacf,20,-0.004885,0.034681,-0.034681
ETHUSDT,pacf,21,-0.000738,0.034681,-0.034681
ETHUSDT,pacf,22,-0.008888,0.034681,-0.034681
ETHUSDT,pacf,23,-0.026443,0.034681,-0.034681
ETHUSDT,pacf,24,0.013192,0.034681,-0.034681
ETHUSDT,pacf,25,0.040078,0.034681,-0.034681
ETHUSDT,pacf,26,0.011242,0.034681,-0.034681
ETHUSDT,pacf,27,0.002799,0.034681,-0.034681
ETHUSDT,pacf,28,0.012943,0.034681,-0.034681
ETHUSDT,pacf,29,-0.025643,0.034681,-0.034681
ETHUSDT,pacf,30,0.006324,0.034681,-0.034681
SOLUSDT,acf,1,-0.021229,0.042182,-0.042182
SOLUSDT,acf,2,-0.005091,0.042182,-0.042182
SOLUSDT,acf,3,0.022709,0.042182,-0.042182
SOLUSDT,acf,4,0.048331,0.042182,-0.042182
SOLUSDT,acf,5,-0.016609,0.042182,-0.042182
SOLUSDT,acf,6,0.039499,0.042182,-0.042182
SOLUSDT,acf,7,0.048953,0.042182,-0.042182
SOLUSDT,acf,8,-0.034617,0.042182,-0.042182
SOLUSDT,acf,9,0.024937,0.042182,-0.042182
SOLUSDT,acf,10,0.042648,0.042182,-0.042182
SOLUSDT,acf,11,0.001287,0.042182,-0.042182
SOLUSDT,acf,12,-0.035058,0.042182,-0.042182
SOLUSDT,acf,13,0.031509,0.042182,-0.042182
SOLUSDT,acf,14,0.001978,0.042182,-0.042182
SOLUSDT,acf,15,0.052109,0.042182,-0.042182
SOLUSDT,acf,16,0.028425,0.042182,-0.042182
SOLUSDT,acf,17,0.00803,0.042182,-0.042182
SOLUSDT,acf,18,-0.030056,0.042182,-0.042182
SOLUSDT,acf,19,0.050928,0.042182,-0.042182
SOLUSDT,acf,20,0.017632,0.042182,-0.042182
SOLUSDT,acf,21,-0.01188,0.042182,-0.042182
SOLUSDT,acf,22,0.0177,0.042182,-0.042182
SOLUSDT,acf,23,0.017369,0.042182,-0.042182
SOLUSDT,acf,24,0.036325,0.042182,-0.042182
SOLUSDT,acf,25,0.043829,0.042182,-0.042182
SOLUSDT,acf,26,0.010816,0.042182,-0.042182
SOLUSDT,acf,27,0.007802,0.042182,-0.042182
SOLUSDT,acf,28,-0.005475,0.042182,-0.042182
SOLUSDT,acf,29,0.021244,0.042182,-0.042182
SOLUSDT,acf,30,0.019489,0.042182,-0.042182
SOLUSDT,pacf,1,-0.021229,0.042182,-0.042182
SOLUSDT,pacf,2,-0.005544,0.042182,-0.042182
SOLUSDT,pacf,3,0.022494,0.042182,-0.042182
SOLUSDT,pacf,4,0.049314,0.042182,-0.042182
SOLUSDT,pacf,5,-0.014303,0.042182,-0.042182
SOLUSDT,pacf,6,0.03891,0.042182,-0.042182
SOLUSDT,pacf,7,0.048478,0.042182,-0.042182
SOLUSDT,pacf,8,-0.033978,0.042182,-0.042182
SOLUSDT,pacf,9,0.023887,0.042182,-0.042182
SOLUSDT,pacf,10,0.037545,0.042182,-0.042182
SOLUSDT,pacf,11,0.001071,0.042182,-0.042182
SOLUSDT,pacf,12,-0.032728,0.042182,-0.042182
SOLUSDT,pacf,13,0.021649,0.042182,-0.042182
SOLUSDT,pacf,14,-2.5e-05,0.042182,-0.042182
SOLUSDT,pacf,15,0.056602,0.042182,-0.042182
SOLUSDT,pacf,16,0.026789,0.042182,-0.042182
SOLUSDT,pacf,17,0.003957,0.042182,-0.042182
SOLUSDT,pacf,18,-0.026809,0.042182,-0.042182
SOLUSDT,pacf,19,0.043681,0.042182,-0.042182
SOLUSDT,pacf,20,0.011878,0.042182,-0.042182
SOLUSDT,pacf,21,-0.010621,0.042182,-0.042182
SOLUSDT,pacf,22,0.012979,0.042182,-0.042182
SOLUSDT,pacf,23,0.01099,0.042182,-0.042182
SOLUSDT,pacf,24,0.037564,0.042182,-0.042182
SOLUSDT,pacf,25,0.043295,0.042182,-0.042182
SOLUSDT,pacf,26,0.000523,0.042182,-0.042182
SOLUSDT,pacf,27,0.013435,0.042182,-0.042182
SOLUSDT,pacf,28,-0.009351,0.042182,-0.042182
SOLUSDT,pacf,29,0.009722,0.042182,-0.042182
SOLUSDT,pacf,30,0.011996,0.042182,-0.042182
