symbol,test_year,n_train,n_test,auc,rmse,dir_acc,train_start,train_end,cv_method,row_type,feature,feature_name,importance,rank
SOLUSDT,,,,,,,,,,importance,f13_cont,MVRV Valuation,0.0853,3.0
SOLUSDT,,,,,,,,,,importance,f8_cont,Price Momentum,0.084,4.0
SOLUSDT,,,,,,,,,,importance,f1_cont,RSI (continuous),0.0777,5.0
SOLUSDT,,,,,,,,,,importance,f5_cont,Month Seasonality,0.0745,6.0
SOLUSDT,,,,,,,,,,importance,f2_cont,Bollinger Position,0.073,7.0
SOLUSDT,,,,,,,,,,importance,f8_lag7,Momentum 7d ago,0.0724,8.0
SOLUSDT,,,,,,,,,,importance,f8_lag14,Momentum 14d ago,0.0648,9.0
SOLUSDT,,,,,,,,,,importance,f9_cont,Funding Rate,0.0645,10.0
SOLUSDT,,,,,,,,,,importance,f12_cont,Turbulence Calm,0.0599,11.0
SOLUSDT,,,,,,,,,,importance,f7_cont,Volume Direction,0.0585,12.0
SOLUSDT,,,,,,,,,,importance,f12_lag7,Turbulence Calm 7d ago,0.0526,13.0
SOLUSDT,,,,,,,,,,importance,f6_cont,HMM Regime (Bull prob),0.0454,14.0
SOLUSDT,,,,,,,,,,importance,f11_cont,Active Addresses,0.0,15.0
