symbol,date,btc_dominance,dom_7d_ago,dom_change_7d,direction,f15_cont,interpretation
BTCUSDT,2026-08-17,56.2169,57.4441,-1.2272,↓ falling,0.3977,Altcoin season signal
ETHUSDT,2026-08-17,56.2169,57.4441,-1.2272,↓ falling,0.6023,Altcoin season signal
SOLUSDT,2026-08-17,56.2169,57.4441,-1.2272,↓ falling,0.6023,Altcoin season signal
