symbol,threshold,holding_days,fold,train_start,train_end,test_start,test_end,train_n,test_n,train_win_rate,test_win_rate,train_mean_return,test_mean_return,train_sharpe,test_sharpe,pass_flag
BTCUSDT,-0.05,7,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,65,13,0.5077,0.6154,-0.008555,0.030006,-1.4919,8.5286,low_sample
BTCUSDT,-0.07,1,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,27,3,0.5556,0.6667,0.007666,0.044837,2.2492,14.5361,low_sample
BTCUSDT,-0.07,3,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,27,3,0.5556,0.6667,0.008668,0.055046,2.2443,11.1339,low_sample
BTCUSDT,-0.07,7,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,27,3,0.4815,0.6667,-0.013332,0.066981,-2.4745,12.5975,low_sample
BTCUSDT,-0.03,1,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,106,26,0.5849,0.5769,0.003297,0.005328,1.2948,2.9487,consistent
BTCUSDT,-0.03,3,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,106,26,0.6132,0.6923,0.005542,0.010701,1.5121,4.0564,consistent
BTCUSDT,-0.03,7,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,105,26,0.5714,0.5769,0.01444,0.009872,2.7058,2.8825,consistent
BTCUSDT,-0.05,1,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,42,8,0.4762,0.375,0.002452,-0.009345,0.8115,-7.9049,low_sample
BTCUSDT,-0.05,3,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,42,8,0.5238,0.625,-0.000645,0.004891,-0.1737,1.7805,low_sample
BTCUSDT,-0.05,7,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,42,8,0.5238,0.375,0.005679,-0.020009,1.1332,-4.8883,low_sample
BTCUSDT,-0.07,1,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,16,1,0.5,1.0,0.007723,0.013438,2.0831,,low_sample
BTCUSDT,-0.07,3,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,16,1,0.4375,1.0,-0.003577,0.045268,-0.9021,,low_sample
BTCUSDT,-0.07,7,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,16,1,0.375,0.0,-0.007629,-0.087534,-1.3802,,low_sample
ETHUSDT,-0.03,1,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,196,81,0.602,0.6173,0.004695,0.016255,1.3825,4.4127,consistent
ETHUSDT,-0.03,3,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,196,80,0.5561,0.675,0.003489,0.037733,0.615,6.2726,consistent
ETHUSDT,-0.03,7,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,196,79,0.5357,0.6582,0.00564,0.051351,0.6614,5.7885,consistent
ETHUSDT,-0.05,1,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,114,44,0.5965,0.5455,0.00351,0.010439,0.916,2.4849,consistent
ETHUSDT,-0.05,3,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,114,44,0.5,0.6364,-0.005422,0.030938,-0.8922,4.5226,consistent
ETHUSDT,-0.05,7,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,114,43,0.4912,0.6047,-0.009051,0.029707,-1.0566,3.0599,consistent
ETHUSDT,-0.07,1,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,67,24,0.6119,0.5,0.011432,0.009571,2.8093,2.0401,consistent
ETHUSDT,-0.07,3,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,67,24,0.4776,0.625,-0.010754,0.029903,-1.7044,3.8931,consistent
ETHUSDT,-0.07,7,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,67,24,0.4627,0.5833,-0.004074,0.009311,-0.4701,0.8866,consistent
ETHUSDT,-0.03,1,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,185,75,0.6486,0.4933,0.012564,-0.003386,3.7617,-0.8851,weakened
ETHUSDT,-0.03,3,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,184,75,0.6522,0.4933,0.025719,-0.008137,4.6814,-1.3066,weakened
ETHUSDT,-0.03,7,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,183,75,0.6448,0.4267,0.039872,-0.013254,5.0664,-1.5277,failed
ETHUSDT,-0.05,1,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,98,39,0.6122,0.5385,0.011079,0.00268,2.9892,0.6151,weakened
ETHUSDT,-0.05,3,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,98,39,0.6224,0.4872,0.021177,-0.00627,3.6197,-0.9493,weakened
ETHUSDT,-0.05,7,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,97,39,0.6186,0.4359,0.025817,-0.00653,3.0538,-0.638,failed
ETHUSDT,-0.07,1,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,54,22,0.6111,0.5455,0.015821,0.00414,3.9131,0.9365,weakened
ETHUSDT,-0.07,3,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,54,22,0.5926,0.4545,0.017066,-0.012866,2.5535,-2.184,weakened
ETHUSDT,-0.07,7,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,54,22,0.5926,0.4091,0.014228,-0.020032,1.5393,-2.7037,failed
ETHUSDT,-0.03,1,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,212,28,0.5991,0.6071,0.008273,0.010033,2.3027,7.416,consistent
ETHUSDT,-0.03,3,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,212,28,0.6132,0.5,0.016913,0.014994,2.8601,6.5493,consistent
ETHUSDT,-0.03,7,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,212,28,0.5896,0.6429,0.028176,0.023118,3.2999,6.4406,consistent
ETHUSDT,-0.05,1,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,109,6,0.578,0.3333,0.008461,-0.006474,2.0462,-9.3135,low_sample
ETHUSDT,-0.05,3,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,109,6,0.5872,0.5,0.014835,0.023459,2.2766,7.2699,low_sample
ETHUSDT,-0.05,7,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,109,6,0.5596,0.5,0.019745,0.052981,2.0308,9.7663,low_sample
ETHUSDT,-0.07,1,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,62,1,0.5645,1.0,0.010854,0.003457,2.4824,,low_sample
ETHUSDT,-0.07,3,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,62,1,0.5645,0.0,0.012196,-0.032108,1.7854,,low_sample
ETHUSDT,-0.07,7,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,62,1,0.5323,0.0,0.005881,-0.036066,0.6155,,low_sample
ETHUSDT,-0.03,1,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,184,53,0.5652,0.5283,0.007302,-0.002228,2.0693,-0.7891,weakened
ETHUSDT,-0.03,3,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,184,53,0.5761,0.5283,0.015582,-0.002288,2.6779,-0.6259,weakened
ETHUSDT,-0.03,7,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,184,52,0.5543,0.5385,0.020036,0.021237,2.4048,4.2498,consistent
ETHUSDT,-0.05,1,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,89,20,0.5281,0.5,0.005899,-0.002757,1.4328,-0.9338,weakened
ETHUSDT,-0.05,3,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,89,20,0.5618,0.45,0.014129,-0.019949,2.1395,-4.3893,weakened
ETHUSDT,-0.05,7,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,89,20,0.5169,0.5,0.015043,0.020043,1.5554,3.6829,consistent
ETHUSDT,-0.07,1,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,47,8,0.5319,0.5,0.006899,-0.00151,1.5443,-0.3496,low_sample
ETHUSDT,-0.07,3,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,47,8,0.5319,0.625,0.008564,0.00615,1.2452,1.3101,low_sample
ETHUSDT,-0.07,7,4,2021-01-01,2023-12-31,2024-01-01,2024-12-31,47,8,0.4894,0.625,-0.00539,0.034952,-0.5984,7.4472,low_sample
ETHUSDT,-0.03,1,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,156,59,0.5256,0.4915,-0.000584,-0.0003,-0.184,-0.11,consistent
ETHUSDT,-0.03,3,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,156,59,0.5064,0.5424,-0.001998,0.003265,-0.4063,0.8549,consistent
ETHUSDT,-0.03,7,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,155,59,0.5032,0.5085,0.004888,-0.00441,0.706,-0.8857,weakened
ETHUSDT,-0.05,1,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,65,28,0.5077,0.5357,0.000162,0.00372,0.0434,1.2411,consistent
ETHUSDT,-0.05,3,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,65,28,0.4769,0.5357,-0.007735,0.002838,-1.3383,0.6046,consistent
ETHUSDT,-0.05,7,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,65,28,0.4615,0.4643,0.007139,-0.004498,0.8259,-0.8095,weakened
ETHUSDT,-0.07,1,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,31,13,0.5484,0.5385,0.00266,-0.002258,0.626,-0.8516,low_sample
ETHUSDT,-0.07,3,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,31,13,0.4839,0.6154,-0.008579,0.005677,-1.5719,1.5726,low_sample
ETHUSDT,-0.07,7,5,2022-01-01,2024-12-31,2025-01-01,2025-12-31,31,13,0.4516,0.3846,-0.00636,-0.021249,-0.9374,-4.7503,low_sample
SOLUSDT,-0.03,1,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,212,74,0.533,0.5541,0.004113,0.008238,0.8248,3.1682,consistent
SOLUSDT,-0.03,3,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,212,73,0.4953,0.4521,0.012335,0.00836,1.301,1.7388,weakened
