symbol,month,sample_size,mean_return,median_return,win_rate,best_return,worst_return,std_return
BTCUSDT,1,12,-0.02327644785179378,-0.0681189410465371,0.3333333333333333,0.3918298795788224,-0.3079882213910019,0.213820258229568
BTCUSDT,2,12,0.10057509555575594,0.11754857102937755,0.6666666666666666,0.4207146599769047,-0.16176793835682146,0.17834751572375698
BTCUSDT,3,12,-0.01803749480451407,-0.006895077923546211,0.5,0.20433989034804068,-0.3632061195181947,0.16927634647389853
BTCUSDT,4,12,0.09514893007640646,0.08937680538695769,0.6666666666666666,0.350122633379808,-0.18510080222982572,0.1757197579356541
BTCUSDT,5,12,0.07312155002688202,0.029562977136137647,0.5,0.6083356439050238,-0.354416153330648,0.28767134585343007
BTCUSDT,6,12,-0.0006815586564390871,-0.015388821447535561,0.5,0.26309368333825,-0.3360625055998412,0.18374424121908564
BTCUSDT,7,12,0.09837139840407261,0.09791057254639934,0.75,0.23990378920751532,-0.07632011525902327,0.11684983668253272
BTCUSDT,8,11,0.009991111302715157,-0.07394513102834088,0.18181818181818182,0.7302944235729267,-0.18304271296825503,0.256752639353586
BTCUSDT,9,11,-0.02591182094689435,-0.034547955691048404,0.45454545454545453,0.1047354658244366,-0.1500417026865657,0.0873562777713733
BTCUSDT,10,12,0.1521738905718115,0.14791619705260095,0.75,0.4688422927066169,-0.11807144398190783,0.17749934917010995
BTCUSDT,11,12,0.0646712293121079,0.04299802728441482,0.5833333333333334,0.512210837211373,-0.37011488480092125,0.27554047246055746
BTCUSDT,12,12,0.07047921392851728,-0.005489217241671951,0.5,0.542398751030291,-0.19086869855071753,0.2161102597287619
ETHUSDT,1,9,0.13204642590263463,-0.01647202782362467,0.4444444444444444,0.8004444465986347,-0.28687138693835934,0.3715803862114206
ETHUSDT,2,9,0.04280510170735923,0.034336764991734325,0.5555555555555556,0.4505963355349343,-0.2823382167273666,0.23200377657974586
ETHUSDT,3,9,-0.055869226387011195,0.06195026134008286,0.6666666666666666,0.22601948731031185,-0.5454517367762703,0.25894396726382385
ETHUSDT,4,9,0.16925167082302744,0.05494558556263174,0.6666666666666666,0.7647831065003652,-0.20853879784839602,0.3282767345284291
ETHUSDT,5,9,0.08321532530283843,0.023022215612138464,0.5555555555555556,0.6671826673856203,-0.31312039234399447,0.30444414641718665
ETHUSDT,6,9,-0.11693110423289747,-0.09973510875919711,0.2222222222222222,0.09534872195099076,-0.41471990831853955,0.15354163524305553
ETHUSDT,7,9,0.1754202825958039,0.15624076768549178,0.5555555555555556,0.5866853790090183,-0.2553694479502875,0.30349630999097715
ETHUSDT,8,8,-0.02410693115564494,-0.08533469463674809,0.375,0.3403321495355247,-0.3273772800220033,0.24158554317514838
ETHUSDT,9,8,-0.0912267238597475,-0.10091886617357104,0.375,0.07214474702474316,-0.24549538873276722,0.13195481345011198
ETHUSDT,10,8,0.055231066064013096,0.04251735088021402,0.75,0.2964635913734004,-0.144677805804592,0.14677606224273218
ETHUSDT,11,8,0.024930268973064065,-0.04994486026679967,0.5,0.5512295515852683,-0.4309333609549403,0.3466625702165248
ETHUSDT,12,9,0.07232454258899232,0.05958477620877645,0.5555555555555556,0.6220108829499078,-0.19715704103700216,0.25165223989852575
SOLUSDT,1,6,0.3642871325700004,0.04041207924051238,0.5,1.3995323618354596,-0.44129516745884734,0.7956434281604873
SOLUSDT,2,6,0.23897889677482712,-0.10910410215685323,0.3333333333333333,1.8383297677751433,-0.3075753633941123,0.807887384782416
SOLUSDT,3,6,0.1514111347635525,0.11885891392975007,0.5,0.5606854566312609,-0.13211402037674236,0.2638071644327155
SOLUSDT,4,6,0.13659801091242174,0.05551056805469479,0.6666666666666666,1.250784505473474,-0.3669914618119774,0.5897412712958163
SOLUSDT,5,6,-0.10465032450754115,-0.034939468660171946,0.3333333333333333,0.23033648839014575,-0.4896055396282819,0.26278831583954015
SOLUSDT,6,6,-0.05449132234342454,-0.0857790635969864,0.16666666666666666,0.1475264078004579,-0.16591275174651487,0.11002314174108546
SOLUSDT,7,6,0.1584883711447748,0.17282732227699305,0.8333333333333334,0.2925681534220679,-0.05936682212284394,0.12753950049301763
SOLUSDT,8,5,0.356625193993933,-0.17766175196852585,0.4,2.1670062335912337,-0.24681492989458897,1.030046895302228
SOLUSDT,9,5,0.13478774561113363,0.10695981598200865,1.0,0.2705145314628594,0.05150328575037966,0.09285473681329787
SOLUSDT,10,6,0.06910322734272815,0.08181544864819135,0.6666666666666666,0.6159896501483855,-0.4614872757306008,0.3679156207950891
SOLUSDT,11,6,0.044619154692868944,0.12730646707053817,0.6666666666666666,0.42993321956231356,-0.5622903958027526,0.40163131529977397
SOLUSDT,12,6,-0.046236675688751505,-0.21857296444166846,0.16666666666666666,0.697308311357234,-0.2611036360112111,0.3755148489028899
