symbol,window,k,holding_days,sample_size,mean_return,median_return,win_rate,sharpe_ratio,sortino_ratio,skewness,kurtosis,max_drawdown,avg_drawdown
BTCUSDT,10,2.0,1,136,0.0035457844238868485,0.0034880116928760396,0.5514705882352942,1.102083866733447,1.38465164936236,-0.2957332151318513,4.016881515204931,-0.21144862196566885,-0.0331697782336336
BTCUSDT,10,2.0,3,136,0.011461035369037946,0.010483813728010377,0.6176470588235294,2.7182903572946397,4.260792505965291,0.2571547306690265,1.3048921610390658,-0.1655157551650997,-0.049647614914752176
BTCUSDT,10,2.0,7,136,0.010580235903985442,0.008607464633291406,0.5808823529411765,1.577596844395006,2.1914173862326356,0.21731862965366913,2.732835722183362,-0.3349484885117644,-0.07386732316588675
BTCUSDT,10,2.5,1,21,0.012149839982813371,0.002931448132255451,0.6190476190476191,4.212318806728009,10.925985487000766,0.9913772804538846,0.7738350291154563,-0.060078529981287654,-0.02671912300011267
BTCUSDT,10,2.5,3,21,0.004940572504252504,0.005544854434400653,0.6666666666666666,1.593794220708288,2.485322812368611,-0.0628097216500374,0.06473108079946366,-0.0933693308713998,-0.04701153139968407
BTCUSDT,10,2.5,7,21,0.000578017464487965,0.0021225744970682758,0.5238095238095238,0.1162968609670407,0.17496944607621204,0.7576324804449458,5.564479728100707,-0.197997709523737,-0.05279075450125596
BTCUSDT,20,2.0,1,173,-0.00030726392010903264,0.0038497067986085305,0.5606936416184971,-0.08432761021005329,-0.1040261527754881,-0.35403711255581527,2.498274965614444,-0.21144862196566885,-0.044815488129601525
BTCUSDT,20,2.0,3,173,-0.0005876159080447353,0.0019982174940433584,0.5317919075144508,-0.11110297544390013,-0.14831281266019228,-0.2843655558658503,2.6277269845288656,-0.37266392171768337,-0.06333680836234835
BTCUSDT,20,2.0,7,173,0.008917137792379704,0.006444818189571414,0.5664739884393064,1.2328041087047037,1.7633318051460682,0.38885118507149624,2.5316445095534945,-0.36714980578795764,-0.07824985874432508
BTCUSDT,20,2.5,1,65,0.007545697769336291,0.004234922709094562,0.5538461538461539,1.7794703839566308,2.4308240825282708,-0.1371644557592012,1.91141051852781,-0.21144862196566885,-0.04353058374155304
BTCUSDT,20,2.5,3,65,0.014533740004361835,0.005544854434400653,0.5692307692307692,2.772100389315512,5.196805298514121,0.3257925320745301,0.019990112982289254,-0.1655157551650997,-0.056916351912185636
