date,turbulence_raw,turbulence_norm,turbulence_level
2021-05-20,11.597744306694047,0.49762306748244056,moderate
2021-05-21,7.207556751916744,0.30916842911341974,moderate
2021-05-22,6.171048676994034,0.2646749417648962,moderate
2021-05-23,7.852636865122125,0.3368593507281191,moderate
2021-05-24,20.479702236177456,0.8788929218393944,extreme
2021-05-25,1.2359996486268368,0.05283140014620449,low
2021-05-26,3.3846489013946015,0.14506502635463106,low
2021-05-27,1.2629471007569444,0.053988155360596125,low
2021-05-28,5.317862112284978,0.22805077400272675,low
2021-05-29,1.3749477209528616,0.058795930908399185,low
2021-05-30,0.4865524985795038,0.02066038469945602,low
2021-05-31,5.5702214308046,0.23888363330936754,low
2021-06-01,0.6935801522514886,0.029547322015536105,low
2021-06-02,0.8666249589725441,0.036975500439659914,low
2021-06-03,2.6737067608792087,0.11454688964169459,low
2021-06-04,2.41876804672419,0.10360330634761267,low
2021-06-05,1.6227490933942452,0.06943313431898489,low
2021-06-06,0.4056226555258198,0.017186363574926346,low
2021-06-07,3.5406699147664242,0.15176243581290338,low
2021-06-08,1.964180509485623,0.08408953185200264,low
2021-06-09,10.715837063762434,0.45976602641802344,moderate
2021-06-10,1.2237205280812848,0.05230430256938604,low
2021-06-11,3.8717191345226056,0.16597316376314977,low
2021-06-12,3.030738173065619,0.129872937750221,low
2021-06-13,5.77856952357596,0.2478272522295605,low
2021-06-14,0.5124856977413355,0.0217736017565443,low
2021-06-15,0.38033765036245903,0.01610097110711828,low
2021-06-16,3.1433547704352387,0.13470715493726274,low
2021-06-17,0.18425971097781396,0.007684064836527185,low
2021-06-18,2.3940265729872228,0.10254124568900982,low
2021-06-19,0.43728266670994664,0.01854541165294552,low
2021-06-20,0.5447452329344976,0.023158385199831263,low
2021-06-21,11.431678554839786,0.49049447426844023,moderate
2021-06-22,0.955453163845179,0.04078856924762588,low
2021-06-23,1.4062667716243775,0.060140342803043395,low
2021-06-24,0.9441507430757742,0.040303397807404634,low
2021-06-25,4.355080533653711,0.18672209454075914,low
2021-06-26,0.20568019602594406,0.008603567639782511,low
2021-06-27,2.4986426001550917,0.10703202776187834,low
2021-06-28,1.7541834650227799,0.07507512948786133,low
2021-06-29,0.6627049856919789,0.02822196443662719,low
2021-06-30,3.264769686265738,0.13991905164325724,low
2021-07-01,1.7490510768228702,0.07485481489990461,low
2021-07-02,0.02382232187263178,0.0007970765774980761,low
2021-07-03,0.28206273400605364,0.011882389647531503,low
2021-07-04,0.6716176655682085,0.028604553071398833,low
2021-07-05,1.2718819819145342,0.05437169701489093,low
2021-07-06,0.9418546394107756,0.04020483450448282,low
2021-07-07,0.6362123832918622,0.027084734251703692,low
2021-07-08,2.7739185643176585,0.11884861455473385,low
2021-07-09,0.505371778364784,0.021468227308011796,low
2021-07-10,0.41331640995369734,0.017516628214036795,low
2021-07-11,0.22246165873361345,0.0093239342406207,low
2021-07-12,0.9122597856761476,0.0389344360559987,low
2021-07-13,1.0786012661233029,0.04607486528648208,low
2021-07-14,0.4707539910394981,0.019982212756213598,low
2021-07-15,1.4162418522493367,0.060568536402615905,low
2021-07-16,0.8653967870497227,0.0369227795267872,low
2021-07-17,0.005253844593317568,0.0,low
2021-07-18,0.12470250642317392,0.005127492638512325,low
2021-07-19,1.2943637013290252,0.05533675471443303,low
2021-07-20,0.9302718616229382,0.03970762836645796,low
2021-07-21,3.4884669323069106,0.14952155337714354,low
2021-07-22,0.0819406541329625,0.0032918832690283224,low
2021-07-23,0.6819963301585469,0.029050071049326043,low
2021-07-24,0.2594075425646478,0.010909885430570402,low
2021-07-25,1.1464091980374382,0.04898561092729737,low
2021-07-26,2.3517843525315842,0.10072794220697313,low
2021-07-27,2.0364069219228886,0.08718994664447431,low
2021-07-28,0.31880471676121686,0.013459588112674599,low
2021-07-29,1.7806928212793443,0.07621307885435025,low
2021-07-30,1.6012451221972968,0.06851004776178099,low
2021-07-31,2.7119571864681316,0.11618884002123532,low
2021-08-01,3.25409336513515,0.13946075636254945,low
2021-08-02,1.366262160355601,0.0584230916706751,low
2021-08-03,0.9778388934591001,0.04174950645734201,low
2021-08-04,1.903731726020213,0.0814946874437211,low
2021-08-05,0.3047624789363771,0.012856806382246637,low
2021-08-06,1.530912365174375,0.06549092064594111,low
2021-08-07,2.9554160503716314,0.12663963547865037,low
2021-08-08,0.9079964973718108,0.03875142873669126,low
2021-08-09,1.5548752821727687,0.06651956072130305,low
2021-08-10,0.5361641025321064,0.02279002876708153,low
