symbol,type,lag,value,ci_upper,ci_lower
ETHUSDT,pacf,4,0.026799,0.034616,-0.034616
ETHUSDT,pacf,5,0.001242,0.034616,-0.034616
ETHUSDT,pacf,6,0.043732,0.034616,-0.034616
ETHUSDT,pacf,7,-0.006806,0.034616,-0.034616
ETHUSDT,pacf,8,-0.035545,0.034616,-0.034616
ETHUSDT,pacf,9,-0.012975,0.034616,-0.034616
ETHUSDT,pacf,10,0.036878,0.034616,-0.034616
ETHUSDT,pacf,11,0.008195,0.034616,-0.034616
ETHUSDT,pacf,12,-0.010789,0.034616,-0.034616
ETHUSDT,pacf,13,0.02528,0.034616,-0.034616
ETHUSDT,pacf,14,-0.006676,0.034616,-0.034616
ETHUSDT,pacf,15,0.01095,0.034616,-0.034616
ETHUSDT,pacf,16,0.010212,0.034616,-0.034616
ETHUSDT,pacf,17,0.034078,0.034616,-0.034616
ETHUSDT,pacf,18,-0.013955,0.034616,-0.034616
ETHUSDT,pacf,19,0.021802,0.034616,-0.034616
ETHUSDT,pacf,20,-0.004986,0.034616,-0.034616
ETHUSDT,pacf,21,-0.000997,0.034616,-0.034616
ETHUSDT,pacf,22,-0.008291,0.034616,-0.034616
ETHUSDT,pacf,23,-0.026953,0.034616,-0.034616
ETHUSDT,pacf,24,0.014026,0.034616,-0.034616
ETHUSDT,pacf,25,0.040435,0.034616,-0.034616
ETHUSDT,pacf,26,0.010793,0.034616,-0.034616
ETHUSDT,pacf,27,0.001618,0.034616,-0.034616
ETHUSDT,pacf,28,0.012758,0.034616,-0.034616
ETHUSDT,pacf,29,-0.025045,0.034616,-0.034616
ETHUSDT,pacf,30,0.006919,0.034616,-0.034616
SOLUSDT,acf,1,-0.02069,0.042066,-0.042066
SOLUSDT,acf,2,-0.004801,0.042066,-0.042066
SOLUSDT,acf,3,0.022519,0.042066,-0.042066
SOLUSDT,acf,4,0.048182,0.042066,-0.042066
SOLUSDT,acf,5,-0.016775,0.042066,-0.042066
SOLUSDT,acf,6,0.039473,0.042066,-0.042066
SOLUSDT,acf,7,0.048696,0.042066,-0.042066
SOLUSDT,acf,8,-0.034608,0.042066,-0.042066
SOLUSDT,acf,9,0.024901,0.042066,-0.042066
SOLUSDT,acf,10,0.042681,0.042066,-0.042066
SOLUSDT,acf,11,0.001698,0.042066,-0.042066
SOLUSDT,acf,12,-0.034769,0.042066,-0.042066
SOLUSDT,acf,13,0.031208,0.042066,-0.042066
SOLUSDT,acf,14,0.001987,0.042066,-0.042066
SOLUSDT,acf,15,0.052096,0.042066,-0.042066
SOLUSDT,acf,16,0.028448,0.042066,-0.042066
SOLUSDT,acf,17,0.008151,0.042066,-0.042066
SOLUSDT,acf,18,-0.03006,0.042066,-0.042066
SOLUSDT,acf,19,0.05049,0.042066,-0.042066
SOLUSDT,acf,20,0.017688,0.042066,-0.042066
SOLUSDT,acf,21,-0.011985,0.042066,-0.042066
SOLUSDT,acf,22,0.017601,0.042066,-0.042066
SOLUSDT,acf,23,0.016941,0.042066,-0.042066
SOLUSDT,acf,24,0.036511,0.042066,-0.042066
SOLUSDT,acf,25,0.04381,0.042066,-0.042066
SOLUSDT,acf,26,0.010367,0.042066,-0.042066
SOLUSDT,acf,27,0.007269,0.042066,-0.042066
SOLUSDT,acf,28,-0.005571,0.042066,-0.042066
SOLUSDT,acf,29,0.021256,0.042066,-0.042066
SOLUSDT,acf,30,0.019843,0.042066,-0.042066
SOLUSDT,pacf,1,-0.02069,0.042066,-0.042066
SOLUSDT,pacf,2,-0.005231,0.042066,-0.042066
SOLUSDT,pacf,3,0.022321,0.042066,-0.042066
SOLUSDT,pacf,4,0.049134,0.042066,-0.042066
SOLUSDT,pacf,5,-0.014544,0.042066,-0.042066
SOLUSDT,pacf,6,0.03887,0.042066,-0.042066
SOLUSDT,pacf,7,0.048206,0.042066,-0.042066
SOLUSDT,pacf,8,-0.034038,0.042066,-0.042066
SOLUSDT,pacf,9,0.02389,0.042066,-0.042066
SOLUSDT,pacf,10,0.037606,0.042066,-0.042066
SOLUSDT,pacf,11,0.001472,0.042066,-0.042066
SOLUSDT,pacf,12,-0.032423,0.042066,-0.042066
SOLUSDT,pacf,13,0.021427,0.042066,-0.042066
SOLUSDT,pacf,14,-5e-06,0.042066,-0.042066
SOLUSDT,pacf,15,0.056514,0.042066,-0.042066
SOLUSDT,pacf,16,0.026748,0.042066,-0.042066
SOLUSDT,pacf,17,0.004026,0.042066,-0.042066
SOLUSDT,pacf,18,-0.026857,0.042066,-0.042066
SOLUSDT,pacf,19,0.043299,0.042066,-0.042066
SOLUSDT,pacf,20,0.011945,0.042066,-0.042066
SOLUSDT,pacf,21,-0.010829,0.042066,-0.042066
SOLUSDT,pacf,22,0.012936,0.042066,-0.042066
SOLUSDT,pacf,23,0.010636,0.042066,-0.042066
SOLUSDT,pacf,24,0.037723,0.042066,-0.042066
SOLUSDT,pacf,25,0.043241,0.042066,-0.042066
SOLUSDT,pacf,26,2.3e-05,0.042066,-0.042066
SOLUSDT,pacf,27,0.012811,0.042066,-0.042066
SOLUSDT,pacf,28,-0.00943,0.042066,-0.042066
SOLUSDT,pacf,29,0.009883,0.042066,-0.042066
SOLUSDT,pacf,30,0.012448,0.042066,-0.042066
